tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)
../../benchmarks/files/benchmark-q2-tree/	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
benchmark-q2-tree-sat_drone-4-1.yml	TIMEOUT	1800.558586	1802.482448973693		TIMEOUT	1800.611174	1801.0106972092763	
benchmark-q2-tree-sat_drone-4-2.yml	TIMEOUT	1800.670684	1801.8565335478634		TIMEOUT	1800.609878	1801.009750213474	
benchmark-q2-tree-sat_drone-8-2.yml	TIMEOUT	1800.644477	1801.1420058403164		TIMEOUT	1800.616628	1801.0034011863172	
benchmark-q2-tree-sat_grid-avoid-4-0.1.yml	true	0.442276	0.8606341071426868		true	0.514844	0.9242366580292583	
benchmark-q2-tree-sat_hallway.yml	TIMEOUT	1749.885091	1830.1652112361044		TIMEOUT	1754.063951	1830.0372936371714	
benchmark-q2-tree-sat_maze-alex.yml	true	1.814647	2.3892887216061354		TIMEOUT	1800.609903	1801.0226363828406	
benchmark-q2-tree-sat_nrp-8.yml	true	0.472868	0.9141957359388471		true	0.656377	1.042943175882101	
benchmark-q2-tree-sat_refuel-06.yml	true	53.791383	54.32517553213984		true	1269.359991	1269.8705681040883	
benchmark-q2-tree-sat_refuel-20.yml	true	1177.327441	1178.4933021487668		TIMEOUT	1800.746084	1801.0125283738598	
benchmark-q2-tree-sat_rocks-12.yml	true	62.788403	63.27843837160617		TIMEOUT	1800.612252	1800.9726370088756	
