tool	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 	DummyTool 
run set	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0
resources/jair/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
dpm	unknown	0.006345	0.10144324786961079	3.190784	unknown	0.006395	0.08246040716767311	3.190784	unknown	0.006784	0.08200084790587425	3.190784	unknown	0.006421	0.08145260438323021	3.190784
grid	unknown	0.00633	0.08174922503530979	3.190784	unknown	0.006256	0.08162357471883297	3.190784	unknown	0.006368	0.0817203801125288	3.190784	unknown	0.006393	0.08188416995108128	3.190784
grid-10-sl-4fsc	unknown	0.006404	0.08149551413953304	3.190784	unknown	0.006343	0.08211638778448105	3.190784	unknown	0.006276	0.08171003311872482	3.190784	unknown	0.006332	0.08122036419808865	3.190784
grid-meet-sl-2fsc	unknown	0.006372	0.0821020919829607	3.190784	unknown	0.006362	0.08143971860408783	3.190784	unknown	0.00636	0.08166129887104034	3.190784	unknown	0.006396	0.08090312592685223	3.190784
herman	unknown	0.006587	0.08181974850594997	3.190784	unknown	0.006396	0.08172024972736835	3.190784	unknown	0.006345	0.08165313303470612	3.190784	unknown	0.006406	0.08028493821620941	3.190784
maze	unknown	0.006366	0.08184674754738808	3.190784	unknown	0.006278	0.08160276897251606	3.190784	unknown	0.006327	0.0809922032058239	3.190784	unknown	0.0063	0.08078278042376041	3.194880
maze-sl-5	unknown	0.006343	0.08167477324604988	3.190784	unknown	0.00633	0.08170508034527302	3.190784	unknown	0.006424	0.08165937289595604	3.190784	unknown	0.006356	0.08032657392323017	3.190784
pole	unknown	0.006236	0.08171371743083	3.190784	unknown	0.006359	0.08137514814734459	3.190784	unknown	0.006398	0.08164653182029724	3.190784	unknown	0.006358	0.08067754097282887	3.190784
pole-res	unknown	0.006225	0.08156222850084305	3.190784	unknown	0.0063	0.08166145905852318	3.190784	unknown	0.006422	0.08168311044573784	3.190784	unknown	0.006346	0.08222717978060246	3.194880
refuel-06-res	unknown	0.006332	0.08130727894604206	3.190784	unknown	0.006812	0.0818701833486557	3.190784	unknown	0.006398	0.08227941580116749	3.190784	unknown	0.006392	0.08107428066432476	3.190784
