tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Molehill.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-AR.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-CEGIS.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0	Paynt-Hybrid.0
resources/jair/	status	category	cputime (s)	walltime (s)	memory (MB)	exitsignal	pressure-cpu-some	pressure-io-some	pressure-memory-some	returnvalue	starttime	terminationreason	status	category	cputime (s)	walltime (s)	memory (MB)	exitsignal	pressure-cpu-some	pressure-io-some	pressure-memory-some	returnvalue	starttime	terminationreason	status	category	cputime (s)	walltime (s)	memory (MB)	exitsignal	pressure-cpu-some	pressure-io-some	pressure-memory-some	returnvalue	starttime	terminationreason	status	category	cputime (s)	walltime (s)	memory (MB)	exitsignal	pressure-cpu-some	pressure-io-some	pressure-memory-some	returnvalue	starttime	terminationreason
dpm	done	missing	2.625675	3.1542324032634497	228.564992		0.004378	0.016727	0	0	2025-02-11T14:21:44.485321+01:00		done	missing	1.384971	1.911825416609645	197.910528		0.003807	0.008944	0	0	2025-02-11T14:31:45.857523+01:00		TIMEOUT	error	600.382289	600.9308994803578	218.042368	9	0.022129	0.032195	0		2025-02-11T14:41:47.314236+01:00	cputime	done	missing	1.606525	2.129958664998412	200.986624		0.010683	0.028738	0	0	2025-02-11T14:51:48.803815+01:00	
grid-10-sl-4fsc	done	missing	8.098328	8.626552132889628	147.177472		0.003166	0.014096	0	0	2025-02-11T14:21:44.484851+01:00		TIMEOUT	error	600.36977	600.9029094930738	177.201152	9	0.011397	0.011656	0		2025-02-11T14:31:45.894238+01:00	cputime	done	missing	41.339601	41.8564083725214	151.384064		0.012162	0.030345	0	0	2025-02-11T14:41:47.344034+01:00		TIMEOUT	error	600.37118	600.9129789676517	201.560064	9	0.014206	0.016318	0		2025-02-11T14:51:48.806299+01:00	cputime
grid-meet-sl-2fsc	done	missing	349.519627	350.11615566909313	999.190528		0.029117	0.053979	0	0	2025-02-11T14:21:44.501026+01:00		done	missing	461.429894	461.9496197029948	3217.887232		0.022476	0.017948	0	0	2025-02-11T14:31:45.947608+01:00		TIMEOUT	error	600.41336	600.9526089597493	639.500288	9	0.022549	0.02795	0		2025-02-11T14:41:47.365457+01:00	cputime	TIMEOUT	error	600.575634	601.1541992072016	3176.026112	9	0.046629	0.0511	0		2025-02-11T14:51:48.861361+01:00	cputime
herman	done	missing	118.004584	118.50550119951367	1062.785024		0.011844	0.025453	0	0	2025-02-11T14:21:44.572448+01:00		done	missing	147.975618	148.47467760182917	3169.329152		0.011469	0.017999	0	0	2025-02-11T14:31:45.965666+01:00		TIMEOUT	error	600.455225	600.9911948237568	896.970752	9	0.028514	0.029236	0		2025-02-11T14:41:47.370196+01:00	cputime	done	missing	98.905396	99.40474683977664	1125.703680		0.008633	0.021023	0	0	2025-02-11T14:51:48.870247+01:00	
maze	done	missing	0.994597	1.4946736693382263	142.536704		0.012822	0.030887	0	0	2025-02-11T14:21:44.564954+01:00		TIMEOUT	error	600.365347	600.868571056053	133.439488	9	0.014932	0.0151	0		2025-02-11T14:31:46.002447+01:00	cputime	TIMEOUT	error	600.371408	600.8758438359946	200.589312	9	0.013135	0.004759	0		2025-02-11T14:41:47.416156+01:00	cputime	TIMEOUT	error	600.366428	600.8694813661277	139.419648	9	0.012874	0.010458	0		2025-02-11T14:51:48.903780+01:00	cputime
pole	done	missing	6.558208	7.028350684791803	165.531648		0.002619	0.007798	0	0	2025-02-11T14:21:44.606077+01:00		done	missing	1.956509	2.4241314101964235	335.429632		0.008596	0.023839	0	0	2025-02-11T14:31:46.015938+01:00		ERROR (1)	error	0.76536	1.227950282394886	135.454720		0.007875	0.01945	0	1	2025-02-11T14:41:47.453642+01:00		ERROR (1)	error	0.747917	1.2144072446972132	135.307264		0.010766	0.02532	0	1	2025-02-11T14:51:48.922955+01:00	
pole-res	done	missing	0.72516	1.1938139982521534	154.374144		0.00424	0.014026	0	0	2025-02-11T14:21:44.611620+01:00		done	missing	0.726349	1.1923232469707727	133.115904		0.011966	0.03501	0	0	2025-02-11T14:31:46.026755+01:00		ERROR (1)	error	0.661003	1.1228812765330076	133.328896		0.005406	0.013589	0	1	2025-02-11T14:41:47.433798+01:00		ERROR (1)	error	0.662781	1.1241195555776358	133.181440		0.005433	0.013767	0	1	2025-02-11T14:51:48.937300+01:00	
refuel-06-res	done	missing	0.833923	1.2994272876530886	143.060992		0.004006	0.013166	0	0	2025-02-11T14:21:44.613816+01:00		done	missing	0.765292	1.239922896027565	133.922816		0.006249	0.023543	0	0	2025-02-11T14:31:46.035239+01:00		TIMEOUT	error	600.379991	600.8787838593125	203.911168	9	0.035164	0.030045	0		2025-02-11T14:41:47.451617+01:00	cputime	done	missing	0.801942	1.2707086354494095	140.009472		0.005824	0.020288	0	0	2025-02-11T14:51:48.943526+01:00	
